parameter,value,CV
U_mab_virus_Clinical VRC01|PVO.4,1,
m_goes_down_True_mab_virus_nan|TRO.11,1.57588100257284,
e_goes_down_False_mab_virus_Clinical VRC01|PVO.4,19.5027018889829,
e_goes_down_False_mab_virus_PGDM1400|1176,473.397686692756,
e_goes_down_False_mab_virus_PGDM1400|1798,59.5609269048269,
e_goes_down_False_mab_virus_PGDM1400|2944,5079.1510247858,
e_goes_down_False_mab_virus_PGDM1400|2946,11.3020279821758,
e_goes_down_False_mab_virus_PGDM1400|3430,692.138482169906,
e_goes_down_False_mab_virus_PGDM1400|4166,2049.32407111011,
e_goes_down_False_mab_virus_PGDM1400|4168,3.4285091358375,
e_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,10.0115598489372,
e_goes_down_False_mab_virus_PGDM1400|PVO.4,9.14673458204686,
e_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,20.1965548884128,
e_goes_down_False_mab_virus_PGDM1400|TRO.11,23.3293154226987,
e_goes_down_False_mab_virus_PGT121|1176,10.8121661807587,
e_goes_down_False_mab_virus_PGT121|1798,180.209119474506,
e_goes_down_False_mab_virus_PGT121|2944,633.886160475309,
e_goes_down_False_mab_virus_PGT121|2946,25.6624728129112,
e_goes_down_False_mab_virus_PGT121|3430,195.737157280274,
e_goes_down_False_mab_virus_PGT121|4166,826.152054068193,
e_goes_down_False_mab_virus_PGT121|4168,194.874490658863,
e_goes_down_False_mab_virus_PGT121|Ce1176_A3,323.908783262319,
e_goes_down_False_mab_virus_PGT121|PVO.4,67.2908763713149,
e_goes_down_False_mab_virus_PGT121|RHPA4259.7,327.918234218032,
e_goes_down_False_mab_virus_PGT121|TRO.11,504.982361798098,
e_goes_down_False_mab_virus_VRC07-523LS|1176,172.706770339901,
e_goes_down_False_mab_virus_VRC07-523LS|1798,21.2408347715265,
e_goes_down_False_mab_virus_VRC07-523LS|2944,126.638284579877,
e_goes_down_False_mab_virus_VRC07-523LS|2946,15.9571394321539,
e_goes_down_False_mab_virus_VRC07-523LS|3430,204.074995666367,
e_goes_down_False_mab_virus_VRC07-523LS|4166,410.1785239264,
e_goes_down_False_mab_virus_VRC07-523LS|4168,67.6165149971939,
e_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,30.0427129724466,
e_goes_down_False_mab_virus_VRC07-523LS|PVO.4,90.4192410884246,
e_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,311.336226641262,
e_goes_down_False_mab_virus_VRC07-523LS|TRO.11,91.4433284919123,
e_goes_down_False_mab_virus_nan|1176,65.7456343800358,
e_goes_down_False_mab_virus_nan|1798,14.0712756372069,
e_goes_down_False_mab_virus_nan|2944,27.8144845035152,
e_goes_down_False_mab_virus_nan|2946,23.3241683113244,
e_goes_down_False_mab_virus_nan|3430,84.9646050387448,
e_goes_down_False_mab_virus_nan|4166,7.77687863951129,
e_goes_down_False_mab_virus_nan|4168,52.9735301951301,
e_goes_down_False_mab_virus_nan|Ce1176_A3,16.3806411699175,
e_goes_down_False_mab_virus_nan|PVO.4,43.6271463971169,
e_goes_down_False_mab_virus_nan|RHPA4259.7,43.0979178238376,
e_goes_down_False_mab_virus_nan|TRO.11,49.6607381946509,
e_goes_down_True_mab_virus_Clinical VRC01|PVO.4,1.8377869097475,
