parameter,value,CV
U_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1,
L_goes_down_True_mab_virus_nan|4168,4.24766939345977e-09,
L_goes_down_True_mab_virus_nan|Ce1176_A3,8.13758280670442e-10,
L_goes_down_True_mab_virus_nan|PVO.4,2.68955119840089e-09,
L_goes_down_True_mab_virus_nan|RHPA4259.7,5.62140820119701e-10,
L_goes_down_True_mab_virus_nan|TRO.11,2.33988524389762e-09,
m_goes_down_False_mab_virus_Clinical VRC01|PVO.4,0.507718902503653,
m_goes_down_False_mab_virus_PGDM1400|1176,0.246460772864794,
m_goes_down_False_mab_virus_PGDM1400|1798,0.174866602635992,
m_goes_down_False_mab_virus_PGDM1400|2944,0.448050305583692,
m_goes_down_False_mab_virus_PGDM1400|2946,0.262788214579963,
m_goes_down_False_mab_virus_PGDM1400|3430,1099.61485824205,
m_goes_down_False_mab_virus_PGDM1400|4166,0.336253384197232,
m_goes_down_False_mab_virus_PGDM1400|4168,0.40358640100083,
m_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,0.170556475447568,
m_goes_down_False_mab_virus_PGDM1400|PVO.4,0.494858065045646,
m_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,0.546587357259626,
m_goes_down_False_mab_virus_PGDM1400|TRO.11,0.399764712066144,
m_goes_down_False_mab_virus_PGT121|1176,0.231109812658929,
m_goes_down_False_mab_virus_PGT121|1798,0.48410996034062,
m_goes_down_False_mab_virus_PGT121|2944,0.601562643997699,
m_goes_down_False_mab_virus_PGT121|2946,0.500825993409052,
m_goes_down_False_mab_virus_PGT121|3430,0.327664229607096,
m_goes_down_False_mab_virus_PGT121|4166,0.513544126915351,
m_goes_down_False_mab_virus_PGT121|4168,0.158061514556934,
m_goes_down_False_mab_virus_PGT121|Ce1176_A3,0.703713629333287,
m_goes_down_False_mab_virus_PGT121|PVO.4,0.514970080997096,
m_goes_down_False_mab_virus_PGT121|RHPA4259.7,0.646935060938359,
m_goes_down_False_mab_virus_PGT121|TRO.11,0.564644296188362,
m_goes_down_False_mab_virus_VRC07-523LS|1176,0.461913979172728,
m_goes_down_False_mab_virus_VRC07-523LS|1798,0.646225948971393,
m_goes_down_False_mab_virus_VRC07-523LS|2944,0.481482298245421,
m_goes_down_False_mab_virus_VRC07-523LS|2946,0.536727760023177,
m_goes_down_False_mab_virus_VRC07-523LS|3430,0.533264128784639,
m_goes_down_False_mab_virus_VRC07-523LS|4166,0.621624527858914,
m_goes_down_False_mab_virus_VRC07-523LS|4168,0.344341034687316,
m_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,0.575143907472501,
m_goes_down_False_mab_virus_VRC07-523LS|PVO.4,0.528729023378513,
m_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,0.579096922943123,
m_goes_down_False_mab_virus_VRC07-523LS|TRO.11,0.564856050087621,
m_goes_down_False_mab_virus_nan|1176,0.234417827914848,
m_goes_down_False_mab_virus_nan|1798,0.672352994440856,
m_goes_down_False_mab_virus_nan|2944,0.325049860776798,
m_goes_down_False_mab_virus_nan|2946,0.638338979496246,
m_goes_down_False_mab_virus_nan|3430,1.09232400328213,
m_goes_down_False_mab_virus_nan|4166,0.384867226826841,
m_goes_down_False_mab_virus_nan|4168,0.241073630541728,
m_goes_down_False_mab_virus_nan|Ce1176_A3,0.676491603716407,
m_goes_down_False_mab_virus_nan|PVO.4,0.397485351233162,
m_goes_down_False_mab_virus_nan|RHPA4259.7,0.230669868045706,
m_goes_down_False_mab_virus_nan|TRO.11,0.462352707274489,
m_goes_down_True_mab_virus_Clinical VRC01|PVO.4,1.56730697602458,
m_goes_down_True_mab_virus_PGDM1400|1176,0.760814077873774,
m_goes_down_True_mab_virus_PGDM1400|1798,0.53980587453731,
m_goes_down_True_mab_virus_PGDM1400|2944,1.38311251775034,
m_goes_down_True_mab_virus_PGDM1400|2946,0.811216206245653,
m_goes_down_True_mab_virus_PGDM1400|3430,3394.46498793818,
m_goes_down_True_mab_virus_PGDM1400|4166,1.03800010628992,
m_goes_down_True_mab_virus_PGDM1400|4168,1.24585430756678,
m_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,0.526500692522898,
m_goes_down_True_mab_virus_PGDM1400|PVO.4,1.52760610972621,
m_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,1.68729226707033,
m_goes_down_True_mab_virus_PGDM1400|TRO.11,1.23405691397361,
m_goes_down_True_mab_virus_PGT121|1176,0.713426307001575,
m_goes_down_True_mab_virus_PGT121|1798,1.49442716090205,
m_goes_down_True_mab_virus_PGT121|2944,1.85699867348666,
m_goes_down_True_mab_virus_PGT121|2946,1.54602885449749,
m_goes_down_True_mab_virus_PGT121|3430,1.01148574599943,
m_goes_down_True_mab_virus_PGT121|4166,1.58528919967696,
m_goes_down_True_mab_virus_PGT121|4168,0.487929271855918,
m_goes_down_True_mab_virus_PGT121|Ce1176_A3,2.17233448457181,
m_goes_down_True_mab_virus_PGT121|PVO.4,1.58969106017258,
m_goes_down_True_mab_virus_PGT121|RHPA4259.7,1.99706142324745,
m_goes_down_True_mab_virus_PGT121|TRO.11,1.74303328086577,
m_goes_down_True_mab_virus_VRC07-523LS|1176,1.42590909716126,
m_goes_down_True_mab_virus_VRC07-523LS|1798,1.99487242432082,
m_goes_down_True_mab_virus_VRC07-523LS|2944,1.48631567812657,
m_goes_down_True_mab_virus_VRC07-523LS|2946,1.65685610356869,
m_goes_down_True_mab_virus_VRC07-523LS|3430,1.64616401907908,
m_goes_down_True_mab_virus_VRC07-523LS|4166,1.91892886827126,
m_goes_down_True_mab_virus_VRC07-523LS|4168,1.06296634443912,
