"id","U","L","m","e","alpha","k"
"130_bNAb_Combinations|1313860|sample|4|PVO.4|5024",1,2.40278647689014e-16,1.2934936285423,0.950024814351557,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|sample|5|PVO.4|5024",1,2.40278647689014e-16,1.29349362854162,1.06598355145973,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|sample|6|PVO.4|5024",1,2.40278647689014e-16,1.29349362854196,1.18645378909023,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|sample|7|PVO.4|5024",1,2.40278647689014e-16,1.53293593723822,6.95692372755074,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|sample|8|PVO.4|5024",1,2.40278647689014e-16,1.53293593723823,7.06078452127961,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|sample|9|PVO.4|5024",1,2.40278647689014e-16,1.53293593723814,7.36107674486373,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|vc|1|2|PVO.4|5024",1,2.40292826421586e-16,0.427542542255692,1.00000025580151,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|vc|2|2|PVO.4|5024",1,2.40292826421586e-16,0.427542542255689,1.0000000247703,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|vc|3|2|PVO.4|5024",1,2.40292826421586e-16,0.42754254225569,0.999999714786255,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|vc|4|2|PVO.4|5024",1,2.40292826421586e-16,0.427542542255693,0.999999590393028,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|vc|5|2|PVO.4|5024",1,2.40292826421586e-16,0.42754254225569,1.00000012638371,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|vc|6|2|PVO.4|5024",1,2.40292826421586e-16,0.427542542255692,0.999999852182687,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|vc|7|2|PVO.4|5024",1,2.40292826421586e-16,0.427542542255694,1.00000004549262,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|vc|8|2|PVO.4|5024",1,2.40292826421586e-16,0.427542542255689,0.999999433881987,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313884|cc|1|1|nan|4168",1,2.40292826421586e-16,0.496575047927592,1.00000035416157,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|cc|2|1|nan|4168",1,2.40292826421586e-16,0.496575047927599,1.00000020536358,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|cc|3|1|nan|4168",1,2.40292826421586e-16,0.496575047927594,1.0000002738032,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|cc|4|1|nan|4168",1,2.40292826421586e-16,0.4965750479276,1.00000006985486,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|cc|5|1|nan|4168",1,2.40292826421586e-16,0.496575047927594,0.999999864462604,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|cc|6|1|nan|4168",1,2.40292826421586e-16,0.496575047927593,0.9999999455552,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|cc|7|1|nan|4168",1,2.40292826421586e-16,0.496575047927593,0.999999996654735,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|cc|8|1|nan|4168",1,2.40292826421586e-16,0.496575047927601,0.999999955563158,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|sample|10|nan|4168",1,2.40278647689014e-16,0.457981292442948,29.0005541600205,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|sample|11|nan|4168",1,2.40278647689014e-16,0.979420187335952,10.8286149303889,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|sample|12|nan|4168",1,2.40278647689014e-16,0.979420187335708,12.7122950483296,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|sample|3|nan|4168",1,2.40278647689014e-16,1.13340371671867,0.329807674363039,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|sample|4|nan|4168",1,2.40278647689014e-16,1.13340371671864,0.293824359245271,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|sample|5|nan|4168",1,2.40278647689014e-16,1.13340371671816,0.312508073773995,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|sample|6|nan|4168",1,2.40278647689014e-16,1.13340371671804,0.294714142291562,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|sample|7|nan|4168",1,2.40278647689014e-16,0.457981292442939,18.4993869623427,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|sample|8|nan|4168",1,2.40278647689014e-16,0.457981292442986,19.5602406447153,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|sample|9|nan|4168",1,2.40278647689014e-16,0.457981292442928,24.6667144387468,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|vc|1|2|nan|4168",1,2.40292826421586e-16,0.496575047927593,0.999999763956516,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|vc|2|2|nan|4168",1,2.40292826421586e-16,0.496575047927597,0.999999734047845,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|vc|3|2|nan|4168",1,2.40292826421586e-16,0.4965750479276,0.999999798248562,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|vc|4|2|nan|4168",1,2.40292826421586e-16,0.496575047927598,0.999999793103948,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|vc|5|2|nan|4168",1,2.40292826421586e-16,0.496575047927597,1.00000028673512,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|vc|6|2|nan|4168",1,2.40292826421586e-16,0.496575047927595,1.00000021841696,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|vc|7|2|nan|4168",1,2.40292826421586e-16,0.496575047927598,1.00000021117981,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313884|vc|8|2|nan|4168",1,2.40292826421586e-16,0.496575047927596,0.99999974394084,0.227537545271905,0.436015841016883
"130_bNAb_Combinations|1313920|cc|1|1|nan|1798",1,2.40292826421586e-16,0.752184200056889,0.99999970019828,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|cc|2|1|nan|1798",1,2.40292826421586e-16,0.752184200056898,0.999999698845141,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|cc|3|1|nan|1798",1,2.40292826421586e-16,0.752184200056892,1.00000020027273,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|cc|4|1|nan|1798",1,2.40292826421586e-16,0.752184200056895,0.999999995010346,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|cc|5|1|nan|1798",1,2.40292826421586e-16,0.752184200056895,0.999999918832014,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|cc|6|1|nan|1798",1,2.40292826421586e-16,0.752184200056895,1.00000015361376,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|cc|7|1|nan|1798",1,2.40292826421586e-16,0.752184200056889,1.00000053357698,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|cc|8|1|nan|1798",1,2.40292826421586e-16,0.752184200056888,1.0000003484356,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|sample|10|nan|1798",1,2.40278647689014e-16,1.47237748188041,21.9959191806547,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|sample|11|nan|1798",1,2.40278647689014e-16,1.94748426241462,2.38217605324247,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|sample|12|nan|1798",1,2.40278647689014e-16,1.947484262415,2.27856166377419,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|sample|3|nan|1798",1,2.40278647689014e-16,0.527147566057252,4.11034916896997,0.320703537533965,0.367847860254958
