parameter,value,CV
U_goes_down_False,1,
U_goes_down_True,0.982218088845084,
m_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,1.60920415899492,
m_goes_down_True_mab_virus_VRC07-523LS|TRO.11,1.8817663608297,
m_goes_down_True_mab_virus_nan|1176,3.07921849219361,
m_goes_down_True_mab_virus_nan|1798,2.38912942176355,
m_goes_down_True_mab_virus_nan|2944,1.38646119431705,
m_goes_down_True_mab_virus_nan|2946,0.552355683406897,
m_goes_down_True_mab_virus_nan|3430,2.97069569092395,
m_goes_down_True_mab_virus_nan|4166,1.39541531110766,
m_goes_down_True_mab_virus_nan|4168,0.345053917941252,
m_goes_down_True_mab_virus_nan|Ce1176_A3,0.82765892787257,
m_goes_down_True_mab_virus_nan|PVO.4,1.05652228052267,
m_goes_down_True_mab_virus_nan|RHPA4259.7,0.675887361132199,
m_goes_down_True_mab_virus_nan|TRO.11,3.73782035606779,
e_goes_down_False_mab_virus_Clinical VRC01|PVO.4,14.8301868399383,
e_goes_down_False_mab_virus_PGDM1400|1176,413.773594854558,
e_goes_down_False_mab_virus_PGDM1400|1798,27.4435873017176,
e_goes_down_False_mab_virus_PGDM1400|2944,5657.96200930345,
e_goes_down_False_mab_virus_PGDM1400|2946,9.17013803421999,
e_goes_down_False_mab_virus_PGDM1400|3430,3605.48394018311,
e_goes_down_False_mab_virus_PGDM1400|4166,1657.28313456887,
e_goes_down_False_mab_virus_PGDM1400|4168,2.26910647314254,
e_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,10.4277833019681,
e_goes_down_False_mab_virus_PGDM1400|PVO.4,8.34379982460357,
e_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,15.7196794024633,
e_goes_down_False_mab_virus_PGDM1400|TRO.11,16.7967371386319,
e_goes_down_False_mab_virus_PGT121|1176,5.53838634911187,
e_goes_down_False_mab_virus_PGT121|1798,140.00345811034,
e_goes_down_False_mab_virus_PGT121|2944,548.238664679222,
e_goes_down_False_mab_virus_PGT121|2946,21.8534721398045,
e_goes_down_False_mab_virus_PGT121|3430,207.751585009296,
e_goes_down_False_mab_virus_PGT121|4166,573.228258964161,
e_goes_down_False_mab_virus_PGT121|4168,144.574825421655,
e_goes_down_False_mab_virus_PGT121|Ce1176_A3,324.166147266179,
e_goes_down_False_mab_virus_PGT121|PVO.4,54.9259125896643,
